goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/gameoflife
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
,results.out
,sec/op,CI
Gol/512x512x100-1-20,13.998294906000002,∞
Gol/512x512x100-2-20,25.582315359000003,∞
Gol/512x512x100-3-20,13.347442607000001,∞
Gol/512x512x100-4-20,16.179717693,∞
Gol/512x512x100-5-20,14.320637023000002,∞
Gol/512x512x100-6-20,13.140924061000002,∞
Gol/512x512x100-7-20,12.700005898,∞
Gol/512x512x100-8-20,12.413880556,∞
Gol/512x512x100-9-20,13.864241007,∞
Gol/512x512x100-10-20,13.708972434000001,∞
Gol/512x512x100-11-20,14.927165689,∞
Gol/512x512x100-12-20,12.982201467000001,∞
Gol/512x512x100-13-20,12.717917507000001,∞
Gol/512x512x100-14-20,23.961119163000003,∞
Gol/512x512x100-15-20,15.766017346000002,∞
Gol/512x512x100-16-20,13.038605378000002,∞
geomean,14.799146395108124
