goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/gameoflife
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
,results3.out
,sec/op,CI
Gol/512x512x100-1-20,2.348696706,∞
Gol/512x512x100-2-20,2.4666507340000003,∞
Gol/512x512x100-3-20,2.6658068700000004,∞
Gol/512x512x100-4-20,3.673393095,∞
Gol/512x512x100-5-20,8.132309216000001,∞
Gol/512x512x100-6-20,2.618421857,∞
Gol/512x512x100-7-20,2.864794036,∞
Gol/512x512x100-8-20,3.7753616190000003,∞
Gol/512x512x100-9-20,2.741043313,∞
Gol/512x512x100-10-20,2.704771321,∞
Gol/512x512x100-11-20,2.966847517,∞
Gol/512x512x100-12-20,2.860713097,∞
Gol/512x512x100-13-20,2.6837940490000003,∞
Gol/512x512x100-14-20,2.879430939,∞
Gol/512x512x100-15-20,3.088186458,∞
Gol/512x512x100-16-20,3.837001744,∞
geomean,3.1066617354839448
