goos: linux
goarch: amd64
pkg: uk.ac.bris.cs/gameoflife
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
,results.out
,sec/op,CI
Gol/512x512x1000-1-20,10.395226067500001,3%
Gol/512x512x1000-2-20,6.427492266000001,4%
Gol/512x512x1000-3-20,4.8858728199999995,4%
Gol/512x512x1000-4-20,4.1275647125,3%
Gol/512x512x1000-5-20,3.7744078620000003,2%
Gol/512x512x1000-6-20,3.4853814155,2%
Gol/512x512x1000-7-20,3.5013937035000002,2%
Gol/512x512x1000-8-20,3.3928855375,3%
Gol/512x512x1000-9-20,3.3108385205,1%
Gol/512x512x1000-10-20,3.2070277325000003,1%
Gol/512x512x1000-11-20,3.1904617725,2%
Gol/512x512x1000-12-20,3.2030982065,8%
Gol/512x512x1000-13-20,3.2287496530000004,5%
Gol/512x512x1000-14-20,3.119134246,2%
Gol/512x512x1000-15-20,3.1202108415000005,8%
Gol/512x512x1000-16-20,3.0236989690000002,4%
geomean,3.833030440186781
